idx1,idx2,similarity,nama_1,nama_2,final_score,predicted_label,budget_diff,kl_diff,satker_diff,lokasi_diff
1068,676,1.0,Belanja Perjalanan Dinas Biasa (UPT Saddang),Belanja Perjalanan Dinas Biasa (UPT Saddang),1.0,mirip,0.9654829277494812,0,0,0
1068,1288,1.0,Belanja Perjalanan Dinas Biasa (UPT Saddang),Belanja Perjalanan Dinas Biasa (UPT Saddang),1.0,mirip,0.8855702984125661,0,0,0
1095,671,1.0,Belanja Perjalanan Dinas Biasa -  Monitoring dan Evaluasi SPM Bidang Pendidikan; Biaya Transportasi Darat dari Ibukota Provinsi ke Kabupaten/Kota dalam Provinsi,Belanja Perjalanan Dinas Biasa -  Monitoring dan Evaluasi SPM Bidang Pendidikan; Biaya Transportasi Darat dari Ibukota Provinsi ke Kabupaten/Kota dalam Provinsi,1.0,mirip,0.5142857142857142,0,0,0
1125,2458,1.0,Belanja Perjalanan Dinas Biasa (UPTD Pelatihan Kesehatan Provsu),Belanja Perjalanan Dinas Biasa (UPTD Pelatihan Kesehatan Provsu),1.0,mirip,0.650048512623604,0,0,0
1129,1148,1.0,Belanja Perjalanan Dinas Dalam Kota,Belanja Perjalanan Dinas Dalam Kota,1.0,mirip,0.7857142857142857,0,0,0
1131,1132,0.9568801076674978,Belanja Perjalanan Dinas Biasa - Fast Track Youngpreneur level up,Belanja Perjalanan Dinas Dalam Kota- Fast Track Youngpreneur level up,0.9741280646004986,mirip,0.8312139041783032,0,0,0
1139,2229,0.9293145960158352,Belanja Perjalanan Dinas Biasa Fasilitasi Kelembagaan Bina Spiritual,Belanja Perjalanan Dinas Dalam Kota Fasilitasi Kelembagaan Bina Spiritual,0.957588757609501,mirip,0.9319554565297434,0,0,0
1139,2388,0.8795931939900444,Belanja Perjalanan Dinas Biasa Fasilitasi Kelembagaan Bina Spiritual,Belanja Perjalanan Dinas Biasa Luar Negeri Fasilitasi Kelembagaan Bina Spiritual,0.9277559163940264,mirip,0.7667261022927689,0,0,0
1141,1147,1.0,Belanja Perjalanan Dinas Dalam Kota,Belanja Perjalanan Dinas Dalam Kota,1.0,mirip,0.614054054054054,0,0,0
1142,2390,0.9438072015876896,Belanja Perjalanan Dinas Biasa - Mall UMKM (Optimalisasi PLUT),Belanja Perjalanan Dinas Dalam Kota - Mall UMKM (Optimalisasi PLUT),0.9662843209526136,mirip,0.847073216638434,0,0,0
1143,1145,1.0,Belanja Perjalanan Dinas Dalam Kota,Belanja Perjalanan Dinas Dalam Kota,1.0,mirip,0.8083269082498072,0,0,0
1143,1144,1.0,Belanja Perjalanan Dinas Dalam Kota,Belanja Perjalanan Dinas Dalam Kota,1.0,mirip,0.5373939861218195,0,0,0
1144,1145,1.0,Belanja Perjalanan Dinas Dalam Kota,Belanja Perjalanan Dinas Dalam Kota,1.0,mirip,0.5856666666666667,0,0,0
1149,1195,1.0,Belanja Perjalanan Dinas Paket Meeting Luar Kota,Belanja Perjalanan Dinas Paket Meeting Luar Kota,1.0,mirip,0.728,0,0,0
1149,2389,1.0,Belanja Perjalanan Dinas Paket Meeting Luar Kota,Belanja Perjalanan Dinas Paket Meeting Luar Kota,1.0,mirip,0.8671510830819852,0,0,1
1164,2936,0.923693662138194,Belanja Perjalanan Dinas Biasa - Fasilitasi Penguatan Kelembagaan Koperasi,Belanja Perjalanan Dinas Dalam Kota - Fasilitasi Penguatan Kelembagaan Koperasi,0.9542161972829164,mirip,0.9589771639546014,0,0,0
1182,2374,1.0,Uang Harian Perjalanan Dinas Dalam Negeri - Luar Kota -  Sumatera Utara,Uang Harian Perjalanan Dinas Dalam Negeri - Luar Kota -  Sumatera Utara,1.0,mirip,0.6923076923076923,0,0,1
1186,2923,1.0,Belanja Perjalanan Dinas Biasa (Cabang Dinas II),Belanja Perjalanan Dinas Biasa (Cabang Dinas II),1.0,mirip,0.787426000473597,0,0,0
1186,2475,1.0,Belanja Perjalanan Dinas Biasa (Cabang Dinas II),Belanja Perjalanan Dinas Biasa (Cabang Dinas II),1.0,mirip,0.7819539375567766,0,0,0
1186,1187,1.0,Belanja Perjalanan Dinas Biasa (Cabang Dinas II),Belanja Perjalanan Dinas Biasa (Cabang Dinas II),1.0,mirip,0.8008867714023986,0,0,0
1195,2389,1.0,Belanja Perjalanan Dinas Paket Meeting Luar Kota,Belanja Perjalanan Dinas Paket Meeting Luar Kota,1.0,mirip,0.5115848642720043,0,0,1
1199,1200,0.9147313061026549,Uang Harian Perjalanan Dinas Dalam Negeri - Dalam Kota -  Sumatera Utara,Uang Harian Perjalanan Dinas Dalam Negeri - Luar Kota -  Sumatera Utara,0.9488387836615928,mirip,0.7972972972972973,0,0,0
1199,2374,0.9147313061026549,Uang Harian Perjalanan Dinas Dalam Negeri - Dalam Kota -  Sumatera Utara,Uang Harian Perjalanan Dinas Dalam Negeri - Luar Kota -  Sumatera Utara,0.9488387836615928,mirip,0.9376299376299376,0,0,0
1200,2374,1.0,Uang Harian Perjalanan Dinas Dalam Negeri - Luar Kota -  Sumatera Utara,Uang Harian Perjalanan Dinas Dalam Negeri - Luar Kota -  Sumatera Utara,1.0,mirip,0.6923076923076923,0,0,0
1201,2467,1.0,Biaya Penginapan Perjalanan Dinas Dalam Negeri - Pejabat Eselon III/ Golongan IV -  Sumatera Utara,Biaya Penginapan Perjalanan Dinas Dalam Negeri - Pejabat Eselon III/ Golongan IV -  Sumatera Utara,1.0,mirip,0.7931034482758621,0,0,0
1201,2264,0.9433142310994572,Biaya Penginapan Perjalanan Dinas Dalam Negeri - Pejabat Eselon III/ Golongan IV -  Sumatera Utara,"Biaya Penginapan Perjalanan Dinas Dalam Negeri - Pejabat Eselon IV/ Golongan III, II Dan I -  Sumatera Utara",0.9659885386596744,mirip,0.9123510971786833,0,0,1
